Age,Male2k,Male3k,Male4k,Female2k,Female3k,Female4k
20,3,4,5,4,3,3
21,3,4,5,4,4,3
22,3,4,5,4,4,4
23,3,4,6,5,4,4
24,3,5,6,5,4,4
25,3,5,7,5,4,4
26,4,5,7,5,4,4
27,4,6,7,5,5,5
28,4,6,8,5,5,5
29,4,6,8,5,5,5
30,4,6,9,6,5,5
31,4,7,9,6,6,5
32,5,7,10,6,6,6
33,5,7,10,6,6,6
34,5,8,10,6,6,6
35,5,8,11,6,7,7
36,5,9,12,7,7,7
37,6,9,12,7,7,7
38,6,9,13,7,7,7
39,6,10,14,7,8,8
40,6,10,14,7,8,8
41,6,10,14,8,8,8
42,7,11,16,8,9,9
43,7,12,16,8,9,9
44,7,12,17,8,9,9
45,7,13,18,8,10,10
46,8,13,19,9,10,10
47,8,14,19,9,10,11
48,8,14,20,9,11,11
49,9,15,21,9,11,11
50,9,16,22,10,11,12
51,9,16,23,10,11,12
52,10,17,24,10,12,13
53,10,18,25,10,13,13
54,10,18,26,11,13,14
55,11,19,27,11,14,14
56,11,20,28,11,14,15
57,11,21,29,11,15,15
58,12,22,31,12,15,16
59,12,22,32,12,16,16
60,13,23,33,12,16,17
